"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","DFSDM1_DATIN3","","FMC_A20","DCMI_D4","LTDC_B0"
"A2","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19","",""
"A3","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","ETH_TXD3","FMC_A23","",""
"A4","PG14","I/O","ETH_TXD1","MII_TXD1","SYS_TRACED1","","","LPTIM1_ETR","","SPI6_MOSI","","","USART6_TX","QUADSPI_BK2_IO3","","ETH_TXD1","FMC_A25","","LTDC_B0"
"A5","PE1","I/O","UART8_TX","TMPH4_PE1_TXD8","","","","LPTIM1_IN2","","","","","UART8_TX","","","","FMC_NBL1","DCMI_D3",""
"A6","PE0","I/O","UART8_RX","TMPH4_PE0_RXD8","","","TIM4_ETR","LPTIM1_ETR","","","","","UART8_RX","","SAI2_MCLK_A","","FMC_NBL0","DCMI_D2",""
"A7","PB8","I/O","ETH_TXD3","MII_TXD3","","I2C4_SCL","TIM4_CH3","TIM10_CH1","I2C1_SCL","","DFSDM1_CKIN7","UART5_RX","","CAN1_RX","SDMMC2_D4","ETH_TXD3","SDMMC1_D4","DCMI_D6","LTDC_B6"
"A8","PB5","I/O","","","","UART5_RX","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","SPI6_MOSI","CAN2_RX","USB_OTG_HS_ULPI_D7","ETH_PPS_OUT","FMC_SDCKE1","DCMI_D10","LTDC_G7"
"A9","PB4","I/O","SYS_JTRST","JTAG_NTRST","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S2_WS/SPI2_NSS","SPI6_MISO","","SDMMC2_D3","CAN3_TX","UART7_TX","",""
"A10","PB3","I/O","SYS_JTDO-SWO","JTAG_TDO_TRACE_SWO","SYS_JTDO-SWO","TIM2_CH2","","","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","SPI6_SCK","","SDMMC2_D2","CAN3_RX","UART7_RX","",""
"A11","PD7","I/O","","","","","","DFSDM1_DATIN4","","I2S1_SD/SPI1_MOSI","DFSDM1_CKIN1","USART2_CK","SPDIFRX_IN0","","","SDMMC2_CMD","FMC_NE1","",""
"A12","PC12","I/O","UART5_TX","TMPH1_PC12_TXD5","SYS_TRACED3","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDMMC1_CK","DCMI_D9",""
"A13","PA15","I/O","SYS_JTDI","JTAG_TDI","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","SPI6_NSS","UART4_DE/UART4_RTS","","","CAN3_TX","UART7_TX","",""
"A14","PA14","I/O","SYS_JTCK-SWCLK","JTAG_TCK_SW_CLK","SYS_JTCK-SWCLK","","","","","","","","","","","","","",""
"A15","PA13","I/O","SYS_JTMS-SWDIO","JTAG_TMS_SW_DIO","SYS_JTMS-SWDIO","","","","","","","","","","","","","",""
"B1","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","DFSDM1_CKIN3","","FMC_A21","DCMI_D6","LTDC_G0"
